"","Names","NA."
"contig_names","norm_f/m_coverage","chromosome"
"chr_10","1.73962774231875","X"
"scaffold_49","1.84979603000547","X"
"scaffold_77","1.73124182154417","X"
"scaffold_108","1.55240343255561","X"
"scaffold_113","1.51075801162485","X"
"scaffold_121","1.5303832601792","X"
"scaffold_133","1.76797416916986","X"
"scaffold_143","1.92801449572992","X"
"scaffold_176","1.74873821679552","X"
"scaffold_186","1.74048353903137","X"
"scaffold_188","1.60307871265648","X"
"scaffold_192","1.53783995514072","X"
"scaffold_200","1.62149945481357","X"
"scaffold_207","1.51712669152491","X"
"scaffold_219","2.02673058638246","X"
"scaffold_227","1.53487825431397","X"
"scaffold_246","1.93050306085677","X"
"scaffold_276","1.67919933301355","X"
"scaffold_319","1.70438752990139","X"
"scaffold_327","1.65596863603633","X"
"scaffold_328","1.53506553491771","X"
"scaffold_341","1.51034847086324","X"
"scaffold_356","1.71837520553378","X"
"scaffold_363","2.01770101099876","X"
"scaffold_365","1.77347970782054","X"
"scaffold_370","1.58385762301669","X"
"scaffold_408","1.55649927716531","X"
"scaffold_411","1.56446144996364","X"
"scaffold_419","1.50001972790922","X"
"scaffold_420","2.30461842693699","X"
"scaffold_435","1.52837631629723","X"
"scaffold_482","1.76318916861907","X"
"scaffold_507","1.50853947331278","X"
"scaffold_524","1.59426654307252","X"
"scaffold_547","1.58144793733535","X"
"scaffold_563","1.69986888325671","X"
"scaffold_589","1.55171215818494","X"
"scaffold_602","1.60460713131431","X"
"scaffold_604","1.52516102865319","X"
"scaffold_621","1.5271305327278","X"
"scaffold_630","1.52749133693983","X"
"scaffold_633","1.65956807166964","X"
"scaffold_676","1.53327282249676","X"
"scaffold_697","1.50247680045717","X"
"scaffold_734","1.63472527778719","X"
"scaffold_768","1.71818418463369","X"
"scaffold_803","1.60785218091355","X"
"scaffold_838","1.54152869994439","X"
"scaffold_840","1.5252796552247","X"
"scaffold_855","1.6267597206963","X"
"scaffold_1045","1.508569183551","X"
"scaffold_1086","1.76959372409778","X"
"scaffold_1100","1.5339341669101","X"
"scaffold_1154","1.51075816598716","X"
"scaffold_1176","1.68263242192158","X"
"scaffold_1195","1.52258508819662","X"
"scaffold_1209","1.88969267928445","X"
"scaffold_1267","1.54167395836273","X"
"scaffold_1338","1.88691896823417","X"
"scaffold_1339","1.63040392961624","X"
"scaffold_1356","1.53337583084616","X"
"scaffold_1498","2.06898358954136","X"
"scaffold_1564","1.54240382564094","X"
"scaffold_1663","1.55678528842689","X"
"scaffold_1704","1.61095020837785","X"
"scaffold_1759","1.53935909922568","X"
"scaffold_1786","1.57286701601701","X"
"scaffold_1796","2.02424446419246","X"
"scaffold_1822","2.34171145056196","X"
"scaffold_1875","1.70913003003631","X"
"scaffold_1902","1.63543224481802","X"
"scaffold_1913","1.56694671619029","X"
"scaffold_1914","1.76674708446564","X"
"scaffold_1922","1.5000659424414","X"
"scaffold_1949","1.57679048369657","X"
"scaffold_1956","1.52921268794985","X"
"scaffold_1988","1.57133998992478","X"
"scaffold_2012","1.62708380351044","X"
"scaffold_2027","1.57958976280446","X"
"scaffold_2033","1.63234497185204","X"
"scaffold_2041","1.72237380664207","X"
"scaffold_2045","1.68682488496214","X"
"scaffold_2061","1.85650366013744","X"
"scaffold_2071","1.78557645482342","X"
"scaffold_2101","2.35626383367948","X"
"scaffold_2107","1.84734634095055","X"
"scaffold_2124","1.51466367348659","X"
"scaffold_2144","1.5585114224222","X"
"scaffold_2194","2.46378532087408","X"
"scaffold_2225","1.54589080871117","X"
"scaffold_2265","2.05593290587245","X"
"scaffold_2289","1.63141838022441","X"
"scaffold_2371","1.53979972854299","X"
"scaffold_2372","1.56853999715559","X"
"scaffold_2403","1.60696800684868","X"
"scaffold_2469","2.01569674082021","X"
"scaffold_2509","1.51038516500023","X"
"scaffold_2524","1.61490665536536","X"
"scaffold_13","0.199091408175192","Y"
"scaffold_36","0.211476108723939","Y"
"scaffold_120","0.0451417485043423","Y"
"scaffold_150","0.0740616643106587","Y"
"scaffold_152","0.276535950313645","Y"
"scaffold_265","0.479073507768445","Y"
"scaffold_284","0.142339454707399","Y"
"scaffold_287","0.0188210439637703","Y"
"scaffold_303","0.112499100412205","Y"
"scaffold_618","0.234685839965522","Y"
"scaffold_1035","0.277867523859242","Y"
"scaffold_1472","0.0600403916778019","Y"
"scaffold_1594","0.0312534829186821","Y"
"scaffold_1702","0.034845669757827","Y"
"scaffold_2097","0.384766129612548","Y"
"scaffold_2445","0.23879715320769","Y"
